Company Identifier,Total S1+S2 (tCo2e),Subsector Name,Charlie (milUSD),Alpha (milUSD),Romeo (milUSD),Echo
302,8066605.65,Cement Manufacturers,618.6494836,913.9602172,755.8124971,NULL
303,82820.871,Computer Storage & Peripherals,1864.351555,178.8008862,2103.323617,5795
304,222744,Hotels,1043.356066,4030.447597,2268.785123,NULL
305,224190,Capital Markets,0.946419676,0,604,46284
306,1096842,Hotels,1418.426815,5413.304851,2463.811569,30500
307,9011,Diversified Banks,NULL,82.03291634,704.0252539,4189
308,2.43E+07,Cement Manufacturers,1481.53737,2269.106736,2110.690699,9536
309,15032,Gambling,339.1855843,1042.195549,662.4977169,6000
310,8704000,Oil & Gas Refining & Marketing,21556.36602,8723.845249,22648.2689,3258
311,212801,Diversified Banks,NULL,NULL,NULL,53178
312,4486482,Cement Manufacturers,2964.922088,3041.429447,4043.466683,9993
313,2146,Diversified Banks,NULL,306.5758476,544.240022,NULL
314,94245.44,Industrial Conglomerates,729.5959892,634.104705,809.5752011,6809
315,4360531,Specialty Chemicals,934.9823038,729.1224663,1603.290513,4698
316,259399,Capital Markets,NULL,1175.869687,9649.928486,40856
317,140900,Specialty Chemicals,1791.693736,773.2001112,1976.143779,500
318,136550,Auto Parts,1280.940893,764.3967331,1504.74229,6597
319,1667070,Paper & Related Products,2109.20796,1626.698772,2480.695845,11454
320,274600,Auto Parts,2609.58373,1008.031675,3107.344304,22624
321,56410.39,Auto Parts,463.9186566,-169.2526451,533.201766,1865
322,16344.99902,Auto Parts,1290.239257,620.9527794,1580.321531,8829
323,108003,Auto Parts,1287.569871,424.9663936,1433.99464,7237
324,27670,Auto Parts,168.4869849,174.5920684,206.4109467,1184
325,2400000,Cement Manufacturers,970.7438501,776.3172233,1192.005592,1568
326,950653,Oil & Gas Refining & Marketing,14359.20852,2113.073768,15697.43917,-6600
327,3945000,Industrial Conglomerates,42766.47509,6384.143928,50564.42444,217000
328,765756,Specialty Chemicals,15251.02697,1849.970531,15840.99255,10420
329,2109984,Hotels,2398.656585,1376.600216,4169.066091,196020
330,6866,Diversified Banks,NULL,485.0437003,28324.24237,21652
331,723120,Auto Parts,17562.85496,3215.839733,20238.67937,114693
332,1045800,Auto Parts,18399.32437,5336.635569,22085.65649,113600
333,189948,Specialty Chemicals,1749.179605,1002.610736,2664.736545,6428
334,8.39E+07,Cement Manufacturers,15232.79741,14968.91054,20873.74016,57939
335,55770,Auto Parts,1739.690072,327.7509575,2054.275557,4645
336,101000,Hotels,412.3869817,NULL,NULL,7594
337,5109366,Oil & Gas Storage & Transportation,1406.690165,1210.278102,2192.752937,4079
338,41266,Industrial Conglomerates,956.5475155,422.7911166,1404.37859,7700
339,124199,Oil & Gas Equipment & Services,3539.347466,3031.168099,3545.114237,11847
340,70541,Diversified Banks,NULL,605.397282,9470.73216,43000
341,53837,Diversified Banks,NULL,2420.604795,18916.87319,29706
342,61509.2,Automobiles,2522.262161,765.9193419,2741.858256,8081
343,255147,Diversified Banks,NULL,9412.157518,87639.31259,202713
344,624147,Auto Parts,3646,1046,4572,15027
345,157000,Specialty Chemicals,4883.1,1214.2,7085.4,20060
346,338535,Specialty Chemicals,506.8437945,490.2507658,805.1139254,1519
347,414166,Specialty Chemicals,12685.32082,1653.645411,13979.87407,14795
348,5713,Capital Markets,831.0749025,325.6403467,3465.053537,5976
349,66383.29,Industrial Conglomerates,2294.864784,413.4891503,4150.397346,21700
350,50437,Diversified Banks,NULL,11137.57882,34388.09066,80117
351,5340.88,Diversified Banks,NULL,260.0759764,1125.018904,3027
352,147950,Diversified Banks,NULL,6653.549707,23468.94363,85402
353,63204,Automobiles,129.3449868,8.084061672,118.97828,935
354,730000,Waste & Disposal Services,1697.619076,705.3053652,2043.224257,7035
355,48867,Diversified Banks,NULL,823.6015423,8326.789933,13757
356,257730,Capital Markets,8802.734755,1535.971718,9688.401454,NULL
357,1523000,Health Care  Services,27384.18148,11971.34047,38722.65541,276750
358,8644,Diversified Banks,NULL,146.3766146,7840.381866,NULL
359,39815.2,Cement Manufacturers,429.2440421,171.5368595,534.782622,1799
360,4102,Regional Banks,NULL,43.36625662,1733.128642,2039
361,480348,Auto Parts,7314.192227,1909.025757,8366.583459,25129
362,2.06E+07,Cement Manufacturers,2343.351209,3533.053694,3318.453038,9880
363,1673468,Waste & Disposal Services,674.5988558,5866.993405,1923.224742,5382
364,2277341,Paper & Related Products,5617.705953,3883.111506,7982.238876,31355
365,8527202,Cement Manufacturers,884.524537,911.76667,1381.434485,3083
366,5015.79,Capital Markets,NULL,243.3768218,3385.365056,NULL
367,127991,Diversified Banks,NULL,7141.694519,30424.83267,97775
368,6350000,Paper & Related Products,9504.546794,7080.483159,12084.51733,18978
369,97880.79,Diversified Banks,NULL,1469.131672,8531.318058,NULL
370,100626,Diversified Banks,NULL,8228.419916,38607.16881,92117
371,781,Diversified Banks,NULL,1111.367708,9020.120119,9638
372,75200.6,Paper & Related Products,1340.584595,3093.838645,1807.75119,NULL
373,1384500,Oil & Gas Equipment & Services,8562.176176,4995.950113,9846.387116,NULL
374,12790,Capital Markets,NULL,206.4871006,3338.500915,4557
375,370309,Auto Parts,27334.45569,7141.835343,31263.39162,10070
376,1.21E+07,Cement Manufacturers,1390.456298,1903.094365,1720.862292,5365
377,8987517,Coal,2208.940575,1826.739139,3414.204781,NULL
378,20427,Diversified Banks,NULL,1308.102233,6946.786403,NULL
379,1.34E+07,Cement Manufacturers,747.6320172,1006.743574,1044.785578,5684
380,1413,Capital Markets,NULL,39.5671428,1362.631353,2293
381,58940,Specialty Chemicals,610.9870683,172.0953731,762.5993459,1677
382,2825278,Auto Parts,31659.73828,13165.60302,35975.41616,119732
383,376000,Paper & Related Products,722.4962568,512.9671815,860.5747429,1412
384,618000,Specialty Chemicals,5582.752373,2022.244243,7139.629866,20620
385,2096000,Specialty Chemicals,2948.115376,1756.741311,4136.295074,12319
386,72006,Diversified Banks,NULL,3389.311642,7266.195698,21600
387,219331.26,Specialty Chemicals,1698.397412,668.5123559,2232.870954,4888
388,27283,Health Care  Services,1084.910018,487.1898021,1614.222745,NULL
389,73475,Auto Parts,3846.800066,1073.600715,4108.23092,NULL
390,115378,Industrial Conglomerates,895.2767726,591.5628297,1251.995841,6607
391,834473,Specialty Chemicals,4527.404744,1972.934956,6059.730699,22989
392,51552,Specialty Chemicals,NULL,NULL,334.1004637,731
393,1077743,Specialty Chemicals,3145.169516,1632.392372,4420.024207,8748
